0
18 25 18
Vertices 
-36.6304 -0.705998 -15.6332
-36.6304 -0.705997 -39.0583
-29.6378 -0.705996 -61.7842
-7.96087 -0.705996 -72.9723
17.2124 -0.705995 -73.6716
30.4983 -0.705996 -69.476
37.4909 -0.705997 -36.2613
36.7916 -0.705998 -16.3325
1.47912 -0.705998 -11.4377
-36.6304 -0.705998 -15.6332
-36.6304 -0.705997 -39.0583
-29.6378 -0.705996 -61.7842
-7.96087 -0.705996 -72.9723
17.2124 -0.705995 -73.6716
30.4983 -0.705996 -69.476
37.4909 -0.705997 -36.2613
36.7916 -0.705998 -16.3325
1.47912 -0.705998 -11.4377
Faces 
0 1 9
1 10 9
1 2 10
2 11 10
2 3 11
3 12 11
3 4 12
4 13 12
4 5 13
5 14 13
5 6 14
6 15 14
6 7 15
7 16 15
7 8 16
8 17 16
8 0 17
0 9 17
17 9 10
15 16 17
17 10 11
17 11 12
15 17 12
14 15 12
14 12 13
